,show_id,type,title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average
0,33238,TV Show,Running Man,안재철,"Yoo Jae-suk, Jee Seok-jin, Kim Jong-kook, Haha, Song Ji-hyo",South Korea,2010-07-11,2010,8.241,"Comedy, Reality",ko,1929.898,187,8.241
1,32415,TV Show,Conan,missing,"Conan O'Brien, Andy Richter",United States of America,2010-11-08,2010,7.035,"Talk, Comedy, News",en,1670.58,229,7.035
2,37757,TV Show,MasterChef Greece,missing,missing,Greece,2010-10-03,2010,5.6,Reality,el,1317.092,6,5.6
3,75685,TV Show,Prostřeno!,missing,"Václav Vydra, Jana Boušková",Czech Republic,2010-03-01,2010,6.5,Reality,cs,1095.776,6,6.5
4,33847,TV Show,The Talk,missing,"Amanda Kloots, Jerry O'Connell, Akbar Gbaja-Biamila, Natalie Morales, Sheryl Underwood","United States of America, Ireland",2010-10-18,2010,3.4,Talk,en,712.07,12,3.4
5,250253,TV Show,Euphrosyne,"Maxim Mokrushev, Oleg Maslennikov","Anastasiya Makarova, Valeriy Zolotukhin, Irina Kartashyova, Aleksandr Klyukvin, Kseniya Entelis",missing,2010-02-15,2010,0.0,"Drama, Soap",ru,629.982,0,0.0
6,32798,TV Show,Hawaii Five-0,missing,"Alex O'Loughlin, Scott Caan, Ian Anthony Dale, Meaghan Rath, Beulah Koale","United States of America, Singapore",2010-09-20,2010,7.8,"Crime, Drama, Action & Adventure",en,616.862,1750,7.8
7,1402,TV Show,The Walking Dead,missing,"Lauren Cohan, Norman Reedus, Jeffrey Dean Morgan, Melissa McBride, Christian Serratos",United States of America,2010-10-31,2010,8.103,"Action & Adventure, Drama, Sci-Fi & Fantasy",en,485.66,16790,8.103
8,33384,TV Show,Zone,missing,"Michael Underwood, Angellica Bell",United States of America,2010-05-20,2010,0.0,missing,en,489.739,0,0.0
9,31132,TV Show,Regular Show,missing,"J.G. Quintel, William Salyers, Mark Hamill, Sam Marin, Minty Lewis",United States of America,2010-09-06,2010,8.621,"Animation, Comedy",en,426.107,2045,8.621
10,64488,TV Show,Atomes crochus,missing,Alexandre Barrette,Canada,2010-03-01,2010,0.0,missing,fr,463.962,0,0.0
11,58581,TV Show,Antiques Road Trip,Ian Hendry,Tim Wonnacott,United Kingdom,2010-03-08,2010,5.0,Documentary,en,581.634,8,5.0
12,73870,TV Show,Génial!,missing,"Martin Carli, Stéphane Bellavance",Canada,2010-09-09,2010,2.9,"Family, Talk",fr,413.464,12,2.9
13,51038,TV Show,Natholdet,missing,Hadi Ka-Koush,Denmark,2010-09-27,2010,6.0,"Comedy, Talk",da,401.061,4,6.0
14,33581,TV Show,Pyaar Kii Ye Ek Kahaani,missing,"Vivian Dsena, Sukirti Kandpal, Priya Wal, Kishwer Merchant, Naved Aslam","India, United States of America",2010-10-18,2010,10.0,"Mystery, Drama, Soap",hi,406.769,1,10.0
15,31917,TV Show,Pretty Little Liars,missing,"Lucy Hale, Troian Bellisario, Ashley Benson, Shay Mitchell, Sasha Pieterse",United States of America,2010-06-08,2010,8.0,"Drama, Mystery",en,389.58,2637,8.0
16,32692,TV Show,Blue Bloods,missing,"Tom Selleck, Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou","United States of America, United Kingdom",2010-09-24,2010,7.8,"Crime, Drama",en,361.43,906,7.8
17,32390,TV Show,The Real Housewives of Beverly Hills,missing,"Kyle Richards, Erika Jayne, Dorit Kemsley, Garcelle Beauvais, Sutton Stracke",United States of America,2010-10-14,2010,6.3,Reality,en,514.676,95,6.3
18,32651,TV Show,Interns,missing,"Ivan Okhlobystin, Ilya Glinnikov, Aleksandr Ilyin Jr, Vadim Demchog, Svetlana Permyakova",Russia,2010-03-29,2010,7.0,Comedy,ru,336.57,103,7.0
19,46296,TV Show,Spartacus,missing,"Liam McIntyre, Manu Bennett, Dustin Clare, Cynthia Addai-Robinson, Jaime Murray",United States of America,2010-01-22,2010,8.014,Drama,en,324.023,2585,8.014
20,124864,TV Show,A Masterpiece in 100 Minutes,missing,"Michiko Abe, Hikaru Ijūin",Japan,2010-09-27,2010,0.0,"Talk, Documentary",ja,338.901,0,0.0
21,31991,TV Show,WWE NXT,missing,missing,United States of America,2010-02-23,2010,6.8,"Action & Adventure, Drama",en,442.742,114,6.8
22,214252,TV Show,All My Love For You,Hwang Kyo Jin,"Kim Kap-soo, Park Mi-sun, Kim Yeong-ok, Yoon Seung-ah, Jo Kwon",South Korea,2010-11-08,2010,0.0,Comedy,ko,314.291,0,0.0
23,66774,TV Show,Epic Rap Battles of History,missing,missing,United States of America,2010-09-26,2010,7.319,Comedy,en,338.596,36,7.319
24,35331,TV Show,Good Game: Spawn Point,missing,"Angharad Yeo, Gemma Driscoll",missing,2010-02-20,2010,5.0,"Kids, News",en,435.509,1,5.0
25,61308,TV Show,Les Enfants de la télé,missing,"André Robitaille, Mélanie Maynard",Canada,2010-09-15,2010,6.5,Talk,fr,328.765,1,6.5
26,15260,TV Show,Adventure Time,missing,"Jeremy Shada, John DiMaggio, Tom Kenny, Hynden Walch, Olivia Olson","United States of America, United Kingdom",2010-04-05,2010,8.5,"Animation, Comedy, Sci-Fi & Fantasy",en,302.054,2826,8.5
27,46182,TV Show,Ti Ti Ti,"Ary Coslov, Maria de Médicis, Marcelo Zambelli, Jorge Fernando","Murilo Benício, Alexandre Borges, Cláudia Raia, Isis Valverde, Caio Castro",Brazil,2010-07-19,2010,7.4,Soap,pt,278.459,17,7.4
28,209068,TV Show,Ella,missing,"Darya Gantura, Gert Winckelmans, Ini Massez, Rik Verheye, Amaryllis Uitterlinden",Belgium,2010-09-24,2010,1.0,Soap,nl,281.763,1,1.0
29,155256,TV Show,Happy Toon,missing,"Hongyun Liu, Deng Yuting, Yanzi Yan, Qing Zu, Tuan Li",China,2010-07-02,2010,7.8,"Animation, Kids, Comedy, Sci-Fi & Fantasy, Action & Adventure",zh,264.317,5,7.8
30,42042,TV Show,Kaeloo,missing,"Rémi Chapotot, Dorothée Pousséo, Emmanuel Garijo, Féodor Atkine, Philippe Spiteri",France,2010-06-07,2010,8.5,"Animation, Family, Kids, Comedy",fr,259.428,4,8.5
31,83896,TV Show,Tempos Modernos,"José Luiz Villamarim, Luciana Oliveira, Paulo Silvestrini, Carlo Milani","Fernanda Vasconcellos, Thiago Rodrigues, Priscila Fantin, Danton Mello, Antônio Fagundes",Brazil,2010-01-11,2010,6.5,"Soap, Drama, Family",pt,254.477,3,6.5
32,84548,TV Show,Peter Hahne,missing,Peter Hahne,Germany,2010-06-27,2010,0.0,Talk,de,252.021,0,0.0
33,50829,TV Show,Cesty domů,"Petr Slavík, Jiří Adamec, Jaromír Polišenský","Alois Švehlík, Veronika Freimanová, Roman Zach, Miroslav Etzler, Henrieta Hornáčková",Czech Republic,2010-09-20,2010,6.5,"Soap, Drama",cs,251.964,2,6.5
34,94226,TV Show,Geet Hui Sabse Parayi,missing,"Ranjeev Verma, Sameer Sharma, Drashti Dhami, Gurmeet Choudhary, Abhinav Shukla",India,2010-04-05,2010,10.0,missing,hi,348.468,1,10.0
35,33765,TV Show,My Little Pony: Friendship Is Magic,missing,"Tara Strong, Andrea Libman, Ashleigh Ball, Tabitha St. Germain, Cathy Weseluck","Canada, United States of America",2010-10-10,2010,8.1,"Animation, Comedy, Sci-Fi & Fantasy, Kids",en,227.511,657,8.1
36,46222,TV Show,My Husband is a Cartoonist,missing,"Nao Matsushita, Osamu Mukai, Yoko Nogiwa, Ren Osugi, Yuko Kotegawa",Japan,2010-03-29,2010,8.4,Drama,ja,245.846,7,8.4
37,32778,TV Show,Timeless Love,missing,"Silvia Navarro, Juan Soler, Rocío Banquells, Julieta Rosen, Lisardo Guarinos",Mexico,2010-07-05,2010,7.5,Drama,es,266.749,286,7.5
38,60006,TV Show,Hello Counselor,missing,"Lee Young-ja, Jung Chan-woo, Kim Tae-Kyun, Gong Seung-yeon, Shin Dong-yup",South Korea,2010-11-22,2010,8.3,Reality,ko,260.873,3,8.3
39,15842,TV Show,El Clon,missing,"Mauricio Ochmann, Sandra Echeverría, Luz Stella Luengas, Lucy Martínez, Roberto Moll","Brazil, United States of America",2010-02-15,2010,7.812,Drama,es,233.048,552,7.812
40,18059,TV Show,Rubi,"Manny Palo, Erick C. Salud, Darnel Joy Villaflor, Don Cuaresma","Angelica Panganiban, Jake Cuenca, Shaina Magdayao, Diether Ocampo, Cherry Pie Picache",Philippines,2010-02-15,2010,0.0,Drama,tl,222.934,0,0.0
41,229586,TV Show,Word to a Woman,missing,"Larisa Savankova, Irina Sotikova, Anastasiya Dyukova, Anna Aref'eva, Aleksandr Peskov",missing,2010-01-18,2010,0.0,Drama,ru,240.249,0,0.0
42,45817,TV Show,Passione,"Carlos Araújo, André Câmara, Allan Fiterman, Natália Grimberg, Luiz Henrique Rios, Denise Saraceni","Tony Ramos, Mariana Ximenes, Fernanda Montenegro, Reynaldo Gianecchini, Aracy Balabanian",Brazil,2010-05-17,2010,6.5,Soap,pt,214.841,13,6.5
43,52698,TV Show,El Kebeer Awi,missing,"Ahmed Mekky, Mohamed Sallam, Mostafa Ghareb, Rahma Ahmed Farag, Hatim Salah","Egypt, United States of America",2010-08-11,2010,6.9,"Comedy, Family, Drama",ar,208.398,46,6.9
44,33761,TV Show,Triumph of Love,missing,"Victoria Ruffo, Maite Perroni, William Levy, Osvaldo Ríos, Susana Diazayas","Mexico, United Kingdom, United States of America",2010-10-25,2010,7.7,Soap,es,275.596,459,7.7
45,94502,TV Show,Chepe Fortuna,missing,"Javier Jattin, Taliana Vargas, Pedro Palacio, Kristina Lilley, Susana Rojas",missing,2010-07-26,2010,6.4,"Soap, Comedy, Drama",es,187.223,11,6.4
46,33907,TV Show,Downton Abbey,missing,"Maggie Smith, Michelle Dockery, Laura Carmichael, Joanne Froggatt, Hugh Bonneville",United Kingdom,2010-09-26,2010,8.1,Drama,en,218.91,1036,8.1
47,30745,TV Show,My Kitchen Rules,missing,"Colin Fassnidge, Manu Feildel",Australia,2010-02-01,2010,5.4,Reality,en,252.256,19,5.4
48,46571,TV Show,Daring Women,Lee Dong-Hoon,"Kim Ha-kyoon, Lee Yu-ri",South Korea,2010-03-02,2010,3.0,missing,ko,184.227,1,3.0
49,199332,TV Show,Only You,missing,missing,China,2010-10-30,2010,0.0,Reality,zh,191.646,0,0.0
50,52880,TV Show,Scarlet Letter,Lee Min-su,"Lee Seung-yun, Kim Yeon-ju, Kim Na-woon, Kim Byung-chul, Kim Yoo-bin",missing,2010-08-09,2010,0.0,Drama,ko,182.038,0,0.0
51,93686,TV Show,Česko Slovensko má talent,missing,missing,"Czech Republic, Slovakia",2010-08-29,2010,7.7,Reality,cs,199.226,3,7.7
52,33955,TV Show,Pound Puppies,missing,"Eric McCormack, René Auberjonois, Yvette Nicole Brown, John DiMaggio, Alanna Ubach","United States of America, Canada",2010-10-10,2010,5.2,Animation,en,176.291,10,5.2
53,32348,TV Show,A League of Their Own,missing,"Jamie Redknapp, Romesh Ranganathan, Micah Richards, Jill Scott",missing,2010-03-11,2010,6.9,Comedy,en,185.206,12,6.9
54,85796,TV Show,Ça finit bien la semaine,missing,"Julie Bélanger, Jean-Michel Anctil",Canada,2010-09-24,2010,0.0,Talk,fr,243.881,0,0.0
55,32864,TV Show,Dinner Date,missing,Natalie Casey,United Kingdom,2010-08-09,2010,5.5,missing,en,170.698,2,5.5
56,83893,TV Show,KBS Drama Special,missing,missing,South Korea,2010-05-15,2010,7.4,Drama,ko,170.691,5,7.4
57,66219,TV Show,The Daltons,missing,"Christophe Lemoine, Bruno Flender, Julien Cafaro, Bernard Alane, François Morel","France, Brazil, United States of America",2010-05-23,2010,7.0,"Animation, Kids, Comedy",fr,172.192,13,7.0
58,34035,TV Show,Aurora,"David Posada, Otto Rodríguez, Tony Rodríguez","Sara Maldonado, Eugenio Siller, Sonya Smith, Jorge Luis Pila, Aylín Mújica",United States of America,2010-11-01,2010,7.3,"Mystery, Soap, Drama, Crime",es,159.659,103,7.3
59,51497,TV Show,Under the Clouds,missing,"Vladas Radvilavičius, Elisabet Reinsalu, Liis Haab, Rita Rätsepp, Ain Lutsepp",missing,2010-09-08,2010,10.0,missing,et,168.635,2,10.0
60,38409,TV Show,RuPaul's Drag Race: Untucked,missing,RuPaul,United States of America,2010-02-01,2010,6.2,Reality,en,168.191,47,6.2
61,34284,TV Show,The Only Way Is Essex,missing,"Denise Van Outen, Amber Turner",United Kingdom,2010-10-10,2010,4.0,Reality,en,180.851,20,4.0
62,37811,TV Show,Het Huis Anubis en de Vijf van het Magische Zwaard,missing,"Sanne-Samina Hanssen, Alex Molenaar, Jennifer Welts, Juliann Ubbergen, Roel Dirven",Belgium,2010-03-17,2010,3.0,"Kids, Mystery, Action & Adventure",nl,164.762,1,3.0
63,33018,TV Show,Noah,"Lino S. Cayetano, Malu Sevilla","Piolo Pascual, Zaijian Jaranilla, Jodi Sta. Maria, Kristine Hermosa, Jolo Revilla",Philippines,2010-07-12,2010,0.0,"Sci-Fi & Fantasy, Drama, Action & Adventure",tl,156.415,0,0.0
64,18604,TV Show,Three Kingdoms,Gao Xixi,"Chen Jianbin, Yu Hewei, Lu Yi, Yu Rongguang, Kang Kai",China,2010-05-02,2010,7.8,Drama,zh,161.322,23,7.8
65,34634,TV Show,Gold Rush,missing,"Parker Schnabel, Chris Doumitt, Paul Christie","United Kingdom, United States of America",2010-12-03,2010,7.0,Reality,en,169.395,157,7.0
66,19885,TV Show,Sherlock,missing,"Benedict Cumberbatch, Martin Freeman","United Kingdom, United States of America",2010-07-25,2010,8.514,"Crime, Drama, Mystery",en,155.869,5630,8.514
